state,value
Alabama,37.9
Alaska,33.8
Arizona,35.9
Arkansas,37.4
California,35.2
Colorado,36.1
Connecticut,40
Delaware,38.8
District of Columbia,33.8
Florida,40.7
Georgia,35.3
Hawaii,38.6
Idaho,34.6
Illinois,36.6
Indiana,37
Iowa,38.1
Kansas,36
Kentucky,38.1
Louisiana,35.8
Maine,42.7
Maryland,38
Massachusetts,39.1
Michigan,38.9
Minnesota,37.4
Mississippi,36
Missouri,37.9
Montana,39.8
Nebraska,36.2
Nevada,36.3
New Hampshire,41.1
New Jersey,39
New Mexico,36.7
New York,38
North Carolina,37.4
North Dakota,37
Ohio,38.8
Oklahoma,36.2
Oregon,38.4
Pennsylvania,40.1
Rhode Island,39.4
South Carolina,37.9
South Dakota,36.9
Tennessee,38
Texas,33.6
Utah,29.2
Vermont,41.5
Virginia,37.5
Washington,37.3
West Virginia,41.3
Wisconsin,38.5
Wyoming,36.8
Puerto Rico,36.9
