state	value
Mississippi	1.038
Oklahoma	1.038
Delaware	1.038
Minnesota	0.831
Illinois	0.831
Arkansas	1.038
New Mexico	1.215
Indiana	0.831
Maryland	1.038
Louisiana	1.038
Texas	1.038
Wyoming	1.215
Tennessee	1.038
Wisconsin	0.831
Iowa	0.831
Arizona	1.215
Michigan	0.831
Kansas	0.831
Utah	1.215
Virginia	1.038
Oregon	1.215
Connecticut	
District of Columbia	1.038
New Hampshire	
Massachusetts	
West Virginia	1.038
South Carolina	1.038
California	1.215
Vermont	
Georgia	1.038
North Dakota	0.831
Hawaii	1.215
Pennsylvania	
Florida	1.038
Alaska	1.215
Kentucky	1.038
Rhode Island	
Nebraska	0.831
Missouri	0.831
Ohio	0.831
South Dakota	0.831
Colorado	1.215
Idaho	1.215
New Jersey	
Washington	1.215
North Carolina	1.038
New York	
Montana	1.215
Nevada	1.215
Maine	
Alabama 	1.038
